Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2016-06-26 13:30,Short Exit,14.15,2929.0658,41622.02502,175.74,0.42,322.2,0.77,-263.62,-0.63,175.74,0.18
1,Entry short,2016-06-26 10:00,Short,14.21,2929.0658,41622.02502,175.74,0.42,322.2,0.77,-263.62,-0.63,175.74,0.18
2,Exit short,2016-06-26 14:15,Short Exit,14.35,2676.1722,37225.5553,-1177.52,-3.16,481.71,1.29,-1311.32,-3.52,-1001.77,-1.00
2,Entry short,2016-06-26 13:45,Short,13.91,2676.1722,37225.5553,-1177.52,-3.16,481.71,1.29,-1311.32,-3.52,-1001.77,-1.00
3,Exit long,2016-06-26 20:30,Long Exit,13.94,1759.4297,25283.00479,-756.55,-2.99,17.59,0.07,-774.15,-3.06,-1758.33,-1.76
3,Entry long,2016-06-26 14:45,Long,14.37,1759.4297,25283.00479,-756.55,-2.99,17.59,0.07,-774.15,-3.06,-1758.33,-1.76
4,Exit short,2016-06-28 01:00,Long,14.14,2616.7445,36215.74388,-785.02,-2.17,26.17,0.07,-811.19,-2.24,-2543.35,-2.54
4,Entry short,2016-06-27 20:15,Short,13.84,2616.7445,36215.74388,-785.02,-2.17,26.17,0.07,-811.19,-2.24,-2543.35,-2.54
5,Exit long,2016-06-28 03:30,Long Exit,13.86,2572.0152,36368.29493,-720.16,-1.98,154.32,0.42,-720.16,-1.98,-3263.51,-3.26
5,Entry long,2016-06-28 01:00,Long,14.14,2572.0152,36368.29493,-720.16,-1.98,154.32,0.42,-720.16,-1.98,-3263.51,-3.26
6,Exit short,2016-06-29 01:30,Short Exit,12.39,2730.6751,37656.00963,3822.95,10.15,5679.8,15.08,-436.91,-1.16,559.43,0.56
6,Entry short,2016-06-28 04:30,Short,13.79,2730.6751,37656.00963,3822.95,10.15,5679.8,15.08,-436.91,-1.16,559.43,0.56
7,Exit short,2016-06-29 08:45,Short Exit,12.17,1539.4772,18027.27801,-708.16,-3.93,215.53,1.20,-738.95,-4.10,-148.73,-0.15
7,Entry short,2016-06-29 03:00,Short,11.71,1539.4772,18027.27801,-708.16,-3.93,215.53,1.20,-738.95,-4.10,-148.73,-0.15
8,Exit long,2016-06-30 01:45,Stop Hit,12.55,2400.9998,29388.23755,744.31,2.53,1920.8,6.54,-72.03,-0.25,595.58,0.60
8,Entry long,2016-06-29 16:30,Long,12.24,2400.9998,29388.23755,744.31,2.53,1920.8,6.54,-72.03,-0.25,595.58,0.60
9,Exit short,2016-06-30 23:45,Short Exit,12.61,3907.7249,49432.71999,156.31,0.32,1836.63,3.72,-234.46,-0.47,751.89,0.75
9,Entry short,2016-06-30 11:00,Short,12.65,3907.7249,49432.71999,156.31,0.32,1836.63,3.72,-234.46,-0.47,751.89,0.75
10,Exit short,2016-07-01 19:45,Short Exit,12.1,3061.4753,37839.83471,795.98,2.10,1745.04,4.61,-673.52,-1.78,1547.87,1.55
10,Entry short,2016-07-01 04:15,Short,12.36,3061.4753,37839.83471,795.98,2.10,1745.04,4.61,-673.52,-1.78,1547.87,1.55
11,Exit long,2016-07-02 03:00,Stop Hit,12.03,2936.1654,36173.55773,-851.49,-2.35,264.25,0.73,-880.85,-2.44,696.39,0.70
11,Entry long,2016-07-01 23:15,Long,12.32,2936.1654,36173.55773,-851.49,-2.35,264.25,0.73,-880.85,-2.44,696.39,0.70
12,Exit short,2016-07-02 18:15,Short Exit,12.12,4014.933,48098.89734,-562.09,-1.17,240.9,0.50,-602.24,-1.25,134.3,0.13
12,Entry short,2016-07-02 13:00,Short,11.98,4014.933,48098.89734,-562.09,-1.17,240.9,0.50,-602.24,-1.25,134.3,0.13
13,Exit long,2016-07-03 03:45,Stop Hit,11.83,4766.2702,58053.17104,-1668.19,-2.87,95.33,0.16,-1763.52,-3.04,-1533.9,-1.53
13,Entry long,2016-07-03 01:00,Long,12.18,4766.2702,58053.17104,-1668.19,-2.87,95.33,0.16,-1763.52,-3.04,-1533.9,-1.53
14,Exit short,2016-07-03 11:45,Short Exit,12.13,3928.674,46476.21342,-1178.6,-2.54,0,0.00,-1178.6,-2.54,-2712.5,-2.71
14,Entry short,2016-07-03 03:45,Short,11.83,3928.674,46476.21342,-1178.6,-2.54,0,0.00,-1178.6,-2.54,-2712.5,-2.71
15,Exit short,2016-07-03 22:45,Short Exit,11.87,2782.2164,32301.5324,-723.38,-2.24,306.04,0.95,-751.2,-2.33,-3435.88,-3.44
15,Entry short,2016-07-03 16:00,Short,11.61,2782.2164,32301.5324,-723.38,-2.24,306.04,0.95,-751.2,-2.33,-3435.88,-3.44
16,Exit short,2016-07-04 03:15,Stop Hit,11.82,2657.3296,30825.02336,-584.61,-1.90,53.15,0.17,-717.48,-2.33,-4020.49,-4.02
16,Entry short,2016-07-04 02:30,Short,11.6,2657.3296,30825.02336,-584.61,-1.90,53.15,0.17,-717.48,-2.33,-4020.49,-4.02
17,Exit short,2016-07-05 22:15,Short Exit,10.12,3741.7737,42955.56208,5088.81,11.85,6435.85,14.98,-636.1,-1.48,1068.32,1.07
17,Entry short,2016-07-04 13:45,Short,11.48,3741.7737,42955.56208,5088.81,11.85,6435.85,14.98,-636.1,-1.48,1068.32,1.07
18,Exit long,2016-07-06 13:30,Long Exit,10.7,2590.4323,27354.96509,362.66,1.33,1347.02,4.92,-673.51,-2.46,1430.98,1.43
18,Entry long,2016-07-06 01:00,Long,10.56,2590.4323,27354.96509,362.66,1.33,1347.02,4.92,-673.51,-2.46,1430.98,1.43
19,Exit short,2016-07-07 06:15,Stop Hit,10.12,4570.0173,47573.88009,1325.31,2.79,3427.51,7.20,-91.4,-0.19,2756.29,2.76
19,Entry short,2016-07-07 03:30,Short,10.41,4570.0173,47573.88009,1325.31,2.79,3427.51,7.20,-91.4,-0.19,2756.29,2.76
20,Exit short,2016-07-07 23:30,Stop Hit,10.15,3060.5909,30177.42627,-887.57,-2.94,0,0.00,-948.78,-3.14,1868.72,1.87
20,Entry short,2016-07-07 22:45,Short,9.86,3060.5909,30177.42627,-887.57,-2.94,0,0.00,-948.78,-3.14,1868.72,1.87
21,Exit long,2016-07-08 06:15,Long Exit,9.99,2611.3255,26504.95383,-417.81,-1.58,104.45,0.39,-470.04,-1.77,1450.9,1.45
21,Entry long,2016-07-07 23:30,Long,10.15,2611.3255,26504.95383,-417.81,-1.58,104.45,0.39,-470.04,-1.77,1450.9,1.45
22,Exit long,2016-07-09 04:15,Stop Hit,11.14,4302.2847,44055.39533,3872.06,8.79,5722.04,12.99,-301.16,-0.68,5322.96,5.32
22,Entry long,2016-07-08 08:30,Long,10.24,4302.2847,44055.39533,3872.06,8.79,5722.04,12.99,-301.16,-0.68,5322.96,5.32
23,Exit short,2016-07-09 15:45,Short Exit,10.96,3026.1409,32500.75327,-665.75,-2.05,30.26,0.09,-786.8,-2.42,4657.21,4.66
23,Entry short,2016-07-09 10:15,Short,10.74,3026.1409,32500.75327,-665.75,-2.05,30.26,0.09,-786.8,-2.42,4657.21,4.66
24,Exit short,2016-07-09 19:30,Short Exit,11.07,2379.3272,24935.34906,-1403.8,-5.63,23.79,0.10,-1427.6,-5.73,3253.41,3.25
24,Entry short,2016-07-09 17:30,Short,10.48,2379.3272,24935.34906,-1403.8,-5.63,23.79,0.10,-1427.6,-5.73,3253.41,3.25
25,Exit long,2016-07-10 02:00,Long Exit,10.87,2579.1636,28680.29923,-644.79,-2.25,103.17,0.36,-644.79,-2.25,2608.62,2.61
25,Entry long,2016-07-09 22:15,Long,11.12,2579.1636,28680.29923,-644.79,-2.25,103.17,0.36,-644.79,-2.25,2608.62,2.61
26,Exit long,2016-07-11 07:15,Stop Hit,10.88,6582.7622,72542.03944,-921.59,-1.27,197.48,0.27,-987.41,-1.36,1687.03,1.69
26,Entry long,2016-07-11 02:30,Long,11.02,6582.7622,72542.03944,-921.59,-1.27,197.48,0.27,-987.41,-1.36,1687.03,1.69
27,Exit short,2016-07-11 16:00,Stop Hit,10.52,5573.0014,60355.60516,1727.63,2.86,3176.61,5.26,-111.46,-0.18,3414.66,3.41
27,Entry short,2016-07-11 07:30,Short,10.83,5573.0014,60355.60516,1727.63,2.86,3176.61,5.26,-111.46,-0.18,3414.66,3.41
28,Exit long,2016-07-12 19:30,Stop Hit,10.57,7632.352,81131.90176,-457.94,-0.56,1908.09,2.35,-457.94,-0.56,2956.72,2.96
