Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,13/08/2020 04:00,Long Exit,3.64,1553.706,5702.10102,-46.61,-0.82,403.96,7.08,-264.13,-4.63,-46.61,-0.05
1,Entry long,12/08/2020 11:00,Long,3.67,1553.706,5702.10102,-46.61,-0.82,403.96,7.08,-264.13,-4.63,-46.61,-0.05
2,Exit long,13/08/2020 10:30,Long Exit,3.68,1787.455,6899.5763,-321.74,-4.66,500.49,7.25,-643.48,-9.33,-368.35,-0.37
2,Entry long,13/08/2020 05:30,Long,3.86,1787.455,6899.5763,-321.74,-4.66,500.49,7.25,-643.48,-9.33,-368.35,-0.37
3,Exit short,15/08/2020 07:00,Stop Hit,3.42,2139.444,7552.23732,235.34,3.12,791.59,10.48,-492.07,-6.52,-133.01,-0.13
3,Entry short,14/08/2020 09:00,Short,3.53,2139.444,7552.23732,235.34,3.12,791.59,10.48,-492.07,-6.52,-133.01,-0.13
4,Exit short,16/08/2020 06:30,Short Exit,3.46,2941.821,9325.57257,-853.13,-9.15,147.09,1.58,-941.38,-10.09,-986.14,-0.99
4,Entry short,16/08/2020 01:00,Short,3.17,2941.821,9325.57257,-853.13,-9.15,147.09,1.58,-941.38,-10.09,-986.14,-0.99
5,Exit short,18/08/2020 10:30,Stop Hit,3.19,4266.601,13653.1232,42.67,0.31,1365.31,10,-170.66,-1.25,-943.48,-0.94
5,Entry short,17/08/2020 14:30,Short,3.2,4266.601,13653.1232,42.67,0.31,1365.31,10,-170.66,-1.25,-943.48,-0.94
6,Exit short,18/08/2020 16:00,Stop Hit,3.32,2593.763,7470.03744,-1141.26,-15.28,181.56,2.43,-1452.51,-19.44,-2084.73,-2.08
6,Entry short,18/08/2020 15:30,Short,2.88,2593.763,7470.03744,-1141.26,-15.28,181.56,2.43,-1452.51,-19.44,-2084.73,-2.08
7,Exit long,19/08/2020 04:30,Long Exit,3.2,1880.878,6244.51496,-225.71,-3.61,733.54,11.75,-225.71,-3.61,-2310.44,-2.31
7,Entry long,18/08/2020 16:00,Long,3.32,1880.878,6244.51496,-225.71,-3.61,733.54,11.75,-225.71,-3.61,-2310.44,-2.31
8,Exit short,20/08/2020 10:00,Short Exit,3.08,1682.197,5097.05691,-84.11,-1.65,353.26,6.93,-252.33,-4.95,-2394.55,-2.39
