Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2000-01-07 21:00,EOD,2091.75,2,4138,2275,1.10,2275,1.10,-550,-0.27,2275,2.28
1,Entry long,2000-01-07 15:30,S1 Trend,2069,2,4138,2275,1.10,2275,1.10,-550,-0.27,2275,2.28
2,Exit long,2000-01-13 21:00,EOD,2097,3,6294.75,-187.5,-0.06,675,0.21,-600,-0.19,2087.5,2.09
2,Entry long,2000-01-13 19:30,S1 Trend,2098.25,3,6294.75,-187.5,-0.06,675,0.21,-600,-0.19,2087.5,2.09
3,Exit long,2000-01-14 17:00,S1 Trail,2108.5,3,6355.5,-1500,-0.47,375,0.12,-1500,-0.47,587.5,0.59
3,Entry long,2000-01-14 15:30,S1 Trend,2118.5,3,6355.5,-1500,-0.47,375,0.12,-1500,-0.47,587.5,0.59
4,Exit long,2000-01-19 20:00,S1 Trail,2098.25,4,8429,-1800,-0.43,550,0.13,-1800,-0.43,-1212.5,-1.21
4,Entry long,2000-01-19 15:30,S1 Trend,2107.25,4,8429,-1800,-0.43,550,0.13,-1800,-0.43,-1212.5,-1.21
5,Exit long,2000-01-27 16:30,S1 Trail,2054,4,8245,-1450,-0.35,650,0.16,-1450,-0.35,-2662.5,-2.66
5,Entry long,2000-01-27 15:30,S1 Trend,2061.25,4,8245,-1450,-0.35,650,0.16,-1450,-0.35,-2662.5,-2.66
6,Exit long,2000-02-01 21:00,EOD,2052.25,3,6138,937.5,0.31,1762.5,0.57,-750,-0.24,-1725,-1.72
6,Entry long,2000-02-01 19:30,S1 Trend,2046,3,6138,937.5,0.31,1762.5,0.57,-750,-0.24,-1725,-1.72
7,Exit long,2000-02-02 19:00,S1 Trail,2048.25,4,8232,-1950,-0.47,1500,0.36,-1950,-0.47,-3675,-3.67
7,Entry long,2000-02-02 17:00,S1 Trend,2058,4,8232,-1950,-0.47,1500,0.36,-1950,-0.47,-3675,-3.67
8,Exit long,2000-02-03 18:30,S2 FairVal,2059,2,4113,250,0.12,625,0.30,-175,-0.09,-3425,-3.42
8,Entry long,2000-02-03 18:00,S2 VWAP,2056.5,2,4113,250,0.12,625,0.30,-175,-0.09,-3425,-3.42
9,Exit short,2000-02-10 16:30,S3 Scalp,2057,4,8201,-1350,-0.33,50,0.01,-1550,-0.38,-4775,-4.78
9,Entry short,2000-02-10 16:00,S3 Hedge,2050.25,4,8201,-1350,-0.33,50,0.01,-1550,-0.38,-4775,-4.78
10,Exit short,2000-02-18 19:30,S3 Scalp,1994.75,3,6027.75,2175,0.72,2175,0.72,-75,-0.02,-2600,-2.60
10,Entry short,2000-02-18 17:30,S3 Hedge,2009.25,3,6027.75,2175,0.72,2175,0.72,-75,-0.02,-2600,-2.60
11,Exit long,2000-02-23 21:00,EOD,2001.5,3,6011.25,-337.5,-0.11,975,0.32,-675,-0.22,-2937.5,-2.94
11,Entry long,2000-02-23 19:00,S1 Trend,2003.75,3,6011.25,-337.5,-0.11,975,0.32,-675,-0.22,-2937.5,-2.94
12,Exit long,2000-02-25 16:30,S1 Trail,1986,4,7987,-2150,-0.54,150,0.04,-2150,-0.54,-5087.5,-5.09
12,Entry long,2000-02-25 15:30,S1 Trend,1996.75,4,7987,-2150,-0.54,150,0.04,-2150,-0.54,-5087.5,-5.09
13,Exit long,2000-02-29 21:00,EOD,2003.5,4,7989,1250,0.31,2550,0.64,-650,-0.16,-3837.5,-3.84
13,Entry long,2000-02-29 15:30,S1 Trend,1997.25,4,7989,1250,0.31,2550,0.64,-650,-0.16,-3837.5,-3.84
14,Exit long,2000-03-01 19:00,S1 Trail,2008,5,10072.5,-1625,-0.32,1187.5,0.24,-1625,-0.32,-5462.5,-5.46
14,Entry long,2000-03-01 15:30,S1 Trend,2014.5,5,10072.5,-1625,-0.32,1187.5,0.24,-1625,-0.32,-5462.5,-5.46
15,Exit long,2000-03-02 19:00,S2 FairVal,2017.25,3,6041.25,525,0.17,525,0.17,-300,-0.10,-4937.5,-4.94
15,Entry long,2000-03-02 18:30,S2 VWAP,2013.75,3,6041.25,525,0.17,525,0.17,-300,-0.10,-4937.5,-4.94
16,Exit long,2000-03-03 16:30,S1 Climax,2040.5,1,2036,225,0.22,250,0.25,-62.5,-0.06,-4712.5,-4.71
16,Entry long,2000-03-03 15:30,S1 Trend,2036,1,2036,225,0.22,250,0.25,-62.5,-0.06,-4712.5,-4.71
17,Exit long,2000-03-03 17:00,S1 Climax,2044.25,1,2036,412.5,0.41,500,0.49,-62.5,-0.06,-4300,-4.30
17,Entry long,2000-03-03 15:30,S1 Trend,2036,1,2036,412.5,0.41,500,0.49,-62.5,-0.06,-4300,-4.30
18,Exit long,2000-03-03 17:30,S1 Climax,2049.75,1,2036,687.5,0.68,725,0.71,-62.5,-0.06,-3612.5,-3.61
18,Entry long,2000-03-03 15:30,S1 Trend,2036,1,2036,687.5,0.68,725,0.71,-62.5,-0.06,-3612.5,-3.61
19,Exit long,2000-03-03 21:00,EOD,2048.75,1,2036,637.5,0.63,725,0.71,-62.5,-0.06,-2975,-2.97
19,Entry long,2000-03-03 15:30,S1 Trend,2036,1,2036,637.5,0.63,725,0.71,-62.5,-0.06,-2975,-2.97
20,Exit long,2000-03-06 19:30,S2 FairVal,2031.25,4,8150,-1250,-0.31,700,0.17,-1250,-0.31,-4225,-4.23
20,Entry long,2000-03-06 18:00,S2 VWAP,2037.5,4,8150,-1250,-0.31,700,0.17,-1250,-0.31,-4225,-4.23
21,Exit short,2000-03-08 16:30,S3 Scalp,1994,3,5961,-1050,-0.35,375,0.13,-1387.5,-0.47,-5275,-5.27
21,Entry short,2000-03-08 16:00,S3 Hedge,1987,3,5961,-1050,-0.35,375,0.13,-1387.5,-0.47,-5275,-5.27
22,Exit long,2000-03-09 21:00,EOD,2038,3,6043.5,3525,1.17,3525,1.17,-600,-0.20,-1750,-1.75
22,Entry long,2000-03-09 16:00,S1 Trend,2014.5,3,6043.5,3525,1.17,3525,1.17,-600,-0.20,-1750,-1.75
23,Exit long,2000-03-10 16:30,S1 Trail,2037.75,4,8189,-1900,-0.46,300,0.07,-1900,-0.46,-3650,-3.65
23,Entry long,2000-03-10 16:00,S1 Trend,2047.25,4,8189,-1900,-0.46,300,0.07,-1900,-0.46,-3650,-3.65
24,Exit long,2000-03-10 18:30,S2 FairVal,2042,3,6108.75,862.5,0.28,862.5,0.28,-225,-0.07,-2787.5,-2.79
