Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2000-01-07 21:00,EOD,2091.75,3,6174.75,5025,1.63,5025,1.63,-187.5,-0.06,5025,5.03
1,Entry long,2000-01-07 15:00,S1 Trend,2058.25,3,6174.75,5025,1.63,5025,1.63,-187.5,-0.06,5025,5.03
2,Exit long,2000-01-13 21:00,EOD,2097,4,8393,-250,-0.06,900,0.21,-800,-0.19,4775,4.78
2,Entry long,2000-01-13 19:30,S1 Trend,2098.25,4,8393,-250,-0.06,900,0.21,-800,-0.19,4775,4.78
3,Exit long,2000-01-14 17:00,S1 Trail,2108.5,5,10587.5,-2250,-0.43,875,0.17,-2250,-0.43,2525,2.53
3,Entry long,2000-01-14 15:00,S1 Trend,2117.5,5,10587.5,-2250,-0.43,875,0.17,-2250,-0.43,2525,2.53
4,Exit long,2000-01-18 21:00,EOD,2102.75,5,10537.5,-1187.5,-0.23,1250,0.24,-1562.5,-0.30,1337.5,1.34
4,Entry long,2000-01-18 20:00,S1 Trend,2107.5,5,10537.5,-1187.5,-0.23,1250,0.24,-1562.5,-0.30,1337.5,1.34
5,Exit long,2000-01-19 20:00,S1 Trail,2098.25,5,10536.25,-2250,-0.43,687.5,0.13,-2250,-0.43,-912.5,-0.91
5,Entry long,2000-01-19 15:30,S1 Trend,2107.25,5,10536.25,-2250,-0.43,687.5,0.13,-2250,-0.43,-912.5,-0.91
6,Exit long,2000-01-27 16:30,S1 Trail,2054,6,12367.5,-2175,-0.35,975,0.16,-2175,-0.35,-3087.5,-3.09
6,Entry long,2000-01-27 15:30,S1 Trend,2061.25,6,12367.5,-2175,-0.35,975,0.16,-2175,-0.35,-3087.5,-3.09
7,Exit long,2000-02-01 21:00,EOD,2052.25,4,8138,3550,0.87,4650,1.14,-50,-0.01,462.5,0.46
7,Entry long,2000-02-01 17:00,S1 Trend,2034.5,4,8138,3550,0.87,4650,1.14,-50,-0.01,462.5,0.46
8,Exit long,2000-02-02 19:00,S1 Trail,2048.25,6,12348,-2925,-0.47,2250,0.36,-2925,-0.47,-2462.5,-2.46
8,Entry long,2000-02-02 17:00,S1 Trend,2058,6,12348,-2925,-0.47,2250,0.36,-2925,-0.47,-2462.5,-2.46
9,Exit long,2000-02-02 21:00,EOD,2051,4,8208,-200,-0.05,2600,0.63,-300,-0.07,-2662.5,-2.66
9,Entry long,2000-02-02 19:30,S1 Trend,2052,4,8208,-200,-0.05,2600,0.63,-300,-0.07,-2662.5,-2.66
10,Exit long,2000-02-03 16:30,S1 Trail,2052.25,6,12364.5,-2550,-0.41,900,0.15,-2550,-0.41,-5212.5,-5.21
10,Entry long,2000-02-03 15:00,S1 Trend,2060.75,6,12364.5,-2550,-0.41,900,0.15,-2550,-0.41,-5212.5,-5.21
11,Exit long,2000-02-03 18:30,S2 FairVal,2059,3,6169.5,375,0.12,937.5,0.30,-262.5,-0.09,-4837.5,-4.84
11,Entry long,2000-02-03 18:00,S2 VWAP,2056.5,3,6169.5,375,0.12,937.5,0.30,-262.5,-0.09,-4837.5,-4.84
12,Exit long,2000-02-03 21:00,EOD,2068.5,3,6201,225,0.07,375,0.12,-1237.5,-0.40,-4612.5,-4.61
12,Entry long,2000-02-03 20:00,S1 Trend,2067,3,6201,225,0.07,375,0.12,-1237.5,-0.40,-4612.5,-4.61
13,Exit long,2000-02-08 15:30,S1 Climax,2083.75,1,2083.75,0,0.00,62.5,0.06,-137.5,-0.13,-4612.5,-4.61
13,Entry long,2000-02-08 15:00,S1 Trend,2083.75,1,2083.75,0,0.00,62.5,0.06,-137.5,-0.13,-4612.5,-4.61
14,Exit long,2000-02-08 21:00,EOD,2084.75,5,10418.75,250,0.05,437.5,0.08,-1625,-0.31,-4362.5,-4.36
14,Entry long,2000-02-08 15:00,S1 Trend,2083.75,5,10418.75,250,0.05,437.5,0.08,-1625,-0.31,-4362.5,-4.36
15,Exit short,2000-02-10 16:30,S3 Scalp,2057,5,10251.25,-1687.5,-0.33,62.5,0.01,-1937.5,-0.38,-6050,-6.05
15,Entry short,2000-02-10 16:00,S3 Hedge,2050.25,5,10251.25,-1687.5,-0.33,62.5,0.01,-1937.5,-0.38,-6050,-6.05
16,Exit long,2000-02-15 21:00,EOD,2045,3,6128.25,337.5,0.11,1200,0.39,-112.5,-0.04,-5712.5,-5.71
16,Entry long,2000-02-15 20:00,S1 Trend,2042.75,3,6128.25,337.5,0.11,1200,0.39,-112.5,-0.04,-5712.5,-5.71
17,Exit short,2000-02-18 19:30,S3 Scalp,1994.75,4,8037,2900,0.72,2900,0.72,-100,-0.02,-2812.5,-2.81
17,Entry short,2000-02-18 17:30,S3 Hedge,2009.25,4,8037,2900,0.72,2900,0.72,-100,-0.02,-2812.5,-2.81
18,Exit short,2000-02-18 21:00,EOD,1989.5,3,5976.75,412.5,0.14,1087.5,0.36,-787.5,-0.26,-2400,-2.40
18,Entry short,2000-02-18 20:00,S3 Hedge,1992.25,3,5976.75,412.5,0.14,1087.5,0.36,-787.5,-0.26,-2400,-2.40
19,Exit long,2000-02-23 21:00,EOD,2001.5,4,8015,-450,-0.11,1300,0.32,-900,-0.22,-2850,-2.85
19,Entry long,2000-02-23 19:00,S1 Trend,2003.75,4,8015,-450,-0.11,1300,0.32,-900,-0.22,-2850,-2.85
20,Exit long,2000-02-25 15:30,S2 FairVal,1996.75,6,11977.5,150,0.03,1875,0.31,-825,-0.14,-2700,-2.70
20,Entry long,2000-02-25 15:00,S2 VWAP,1996.25,6,11977.5,150,0.03,1875,0.31,-825,-0.14,-2700,-2.70
21,Exit long,2000-02-28 21:00,EOD,1985.5,2,3997.5,-1325,-0.66,325,0.16,-1325,-0.66,-4025,-4.03
21,Entry long,2000-02-28 20:00,S1 Trend,1998.75,2,3997.5,-1325,-0.66,325,0.16,-1325,-0.66,-4025,-4.03
22,Exit long,2000-02-29 21:00,EOD,2003.5,6,11983.5,1875,0.31,3825,0.64,-975,-0.16,-2150,-2.15
22,Entry long,2000-02-29 15:30,S1 Trend,1997.25,6,11983.5,1875,0.31,3825,0.64,-975,-0.16,-2150,-2.15
23,Exit long,2000-03-01 19:00,S1 Trail,2008,6,12087,-1950,-0.32,1425,0.24,-1950,-0.32,-4100,-4.10
23,Entry long,2000-03-01 15:30,S1 Trend,2014.5,6,12087,-1950,-0.32,1425,0.24,-1950,-0.32,-4100,-4.10
24,Exit short,2000-03-02 15:30,S3 Scalp,2018.25,8,16112,-1700,-0.21,200,0.02,-3500,-0.43,-5800,-5.80
24,Entry short,2000-03-02 15:00,S3 Hedge,2014,8,16112,-1700,-0.21,200,0.02,-3500,-0.43,-5800,-5.80
25,Exit long,2000-03-02 17:30,S1 Trail,2013,6,12135,-2850,-0.47,150,0.02,-2850,-0.47,-8650,-8.65
25,Entry long,2000-03-02 16:30,S1 Trend,2022.5,6,12135,-2850,-0.47,150,0.02,-2850,-0.47,-8650,-8.65
26,Exit long,2000-03-02 19:00,S2 FairVal,2017.25,4,8055,700,0.17,700,0.17,-400,-0.10,-7950,-7.95
26,Entry long,2000-03-02 18:30,S2 VWAP,2013.75,4,8055,700,0.17,700,0.17,-400,-0.10,-7950,-7.95
27,Exit long,2000-03-03 16:30,S1 Climax,2040.5,1,2036,225,0.22,250,0.25,-62.5,-0.06,-7725,-7.72
27,Entry long,2000-03-03 15:30,S1 Trend,2036,1,2036,225,0.22,250,0.25,-62.5,-0.06,-7725,-7.72
28,Exit long,2000-03-03 17:00,S1 Climax,2044.25,1,2036,412.5,0.41,500,0.49,-62.5,-0.06,-7312.5,-7.31
28,Entry long,2000-03-03 15:30,S1 Trend,2036,1,2036,412.5,0.41,500,0.49,-62.5,-0.06,-7312.5,-7.31
29,Exit long,2000-03-03 17:30,S1 Climax,2049.75,1,2036,687.5,0.68,725,0.71,-62.5,-0.06,-6625,-6.62
29,Entry long,2000-03-03 15:30,S1 Trend,2036,1,2036,687.5,0.68,725,0.71,-62.5,-0.06,-6625,-6.62
30,Exit long,2000-03-03 21:00,EOD,2048.75,2,4072,1275,0.63,1450,0.71,-125,-0.06,-5350,-5.35
30,Entry long,2000-03-03 15:30,S1 Trend,2036,2,4072,1275,0.63,1450,0.71,-125,-0.06,-5350,-5.35
31,Exit long,2000-03-06 15:30,S2 FairVal,2039.5,10,20437.5,-2125,-0.21,875,0.09,-2125,-0.21,-7475,-7.47
31,Entry long,2000-03-06 15:00,S2 VWAP,2043.75,10,20437.5,-2125,-0.21,875,0.09,-2125,-0.21,-7475,-7.47
32,Exit long,2000-03-06 19:30,S2 FairVal,2031.25,6,12225,-1875,-0.31,1050,0.17,-1875,-0.31,-9350,-9.35
32,Entry long,2000-03-06 18:00,S2 VWAP,2037.5,6,12225,-1875,-0.31,1050,0.17,-1875,-0.31,-9350,-9.35
33,Exit short,2000-03-08 16:30,S3 Scalp,1994,4,7948,-1400,-0.35,500,0.13,-1850,-0.47,-10750,-10.75
33,Entry short,2000-03-08 16:00,S3 Hedge,1987,4,7948,-1400,-0.35,500,0.13,-1850,-0.47,-10750,-10.75
34,Exit long,2000-03-09 21:00,EOD,2038,4,8058,4700,1.17,4700,1.17,-800,-0.20,-6050,-6.05
34,Entry long,2000-03-09 16:00,S1 Trend,2014.5,4,8058,4700,1.17,4700,1.17,-800,-0.20,-6050,-6.05
35,Exit long,2000-03-10 16:30,S1 Trail,2041.25,6,12267,-975,-0.16,2100,0.34,-975,-0.16,-7025,-7.02
35,Entry long,2000-03-10 15:00,S1 Trend,2044.5,6,12267,-975,-0.16,2100,0.34,-975,-0.16,-7025,-7.02
36,Exit long,2000-03-10 18:30,S2 FairVal,2042,4,8145,1150,0.28,1150,0.28,-300,-0.07,-5875,-5.87
36,Entry long,2000-03-10 17:30,S2 VWAP,2036.25,4,8145,1150,0.28,1150,0.28,-300,-0.07,-5875,-5.87
37,Exit long,2000-03-13 20:00,S1 Trail,2015,2,4050,-1000,-0.49,1075,0.53,-1000,-0.49,-6875,-6.88
37,Entry long,2000-03-13 16:00,S1 Trend,2025,2,4050,-1000,-0.49,1075,0.53,-1000,-0.49,-6875,-6.88
38,Exit long,2000-03-14 16:30,S1 Trail,2019.5,5,10118.75,-1062.5,-0.21,1687.5,0.33,-1062.5,-0.21,-7937.5,-7.94
38,Entry long,2000-03-14 15:00,S1 Trend,2023.75,5,10118.75,-1062.5,-0.21,1687.5,0.33,-1062.5,-0.21,-7937.5,-7.94
39,Exit long,2000-03-15 19:30,S1 Climax,2029.25,1,2018.25,550,0.55,562.5,0.56,-137.5,-0.14,-7387.5,-7.39
39,Entry long,2000-03-15 18:30,S1 Trend,2018.25,1,2018.25,550,0.55,562.5,0.56,-137.5,-0.14,-7387.5,-7.39
40,Exit long,2000-03-15 21:00,EOD,2026.75,2,4036.5,850,0.42,1725,0.85,-275,-0.14,-6537.5,-6.54
40,Entry long,2000-03-15 18:30,S1 Trend,2018.25,2,4036.5,850,0.42,1725,0.85,-275,-0.14,-6537.5,-6.54
41,Exit long,2000-03-16 16:30,S1 Climax,2052.5,1,2046,325,0.32,325,0.32,-250,-0.24,-6212.5,-6.21
41,Entry long,2000-03-16 15:00,S1 Trend,2046,1,2046,325,0.32,325,0.32,-250,-0.24,-6212.5,-6.21
